City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,lazaro cardenas,17.9583,-102.2,26.71,82,70,2.46,MX,1720147769
84,puerto natales,-51.7236,-72.4875,-1.79,93,58,1.91,CL,1720147770
85,hermanus,-34.4187,19.2345,12.67,70,37,8.39,ZA,1720147771
86,aksu,41.1231,80.2644,27.02,29,13,0.82,CN,1720147772
87,veinticinco de mayo,-35.4323,-60.1727,1.1,59,1,0.89,AR,1720147773
88,ust-nera,64.5667,143.2,17.83,53,75,1.77,RU,1720147775
89,papatowai,-46.5619,169.4708,8.66,77,82,7.0,NZ,1720147776
90,ribeira grande,38.5167,-28.7,18.21,82,2,3.58,PT,1720147777
91,qaqortoq,60.7167,-46.0333,3.63,84,100,1.15,GL,1720147778
92,blackmans bay,-43.0167,147.3167,12.07,68,45,1.79,AU,1720147779
93,posto fiscal rolim de moura,-13.0833,-62.2667,24.53,53,38,0.94,BR,1720147780
94,invercargill,-46.4,168.35,10.01,76,100,3.58,NZ,1720147782
95,qaryat suluq,31.6682,20.2521,22.89,69,14,3.74,LY,1720147783
96,ulladulla,-35.35,150.4667,14.94,64,91,4.05,AU,1720147784
97,shantobe,52.4581,68.1839,19.65,71,12,3.23,KZ,1720147785
98,vecvarkava,56.1833,26.5167,12.38,98,85,1.88,LV,1720147786
99,punta del este,-34.9667,-54.95,5.54,87,0,3.6,UY,1720147788
100,miracema do tocantins,-9.5618,-48.3967,23.35,41,0,1.95,BR,1720147789
101,dedovichi,57.5517,29.9502,14.65,97,100,1.69,RU,1720147790
102,bredasdorp,-34.5322,20.0403,10.58,76,26,7.08,ZA,1720147791
103,adamstown,-25.066,-130.1015,20.05,76,100,10.48,PN,1720147792
104,kakonko,-3.2828,30.9642,20.36,52,91,0.83,TZ,1720147793
105,nova sintra,14.8667,-24.7167,23.77,89,89,7.5,CV,1720147795
106,faya-largeau,17.9257,19.1043,26.74,61,6,2.16,TD,1720147796
107,westport,41.1415,-73.3579,24.2,83,0,3.09,US,1720147797
108,topki,55.2769,85.6163,21.89,79,21,2.64,RU,1720147798
109,atafu village,-8.5421,-172.5159,28.73,76,65,6.72,TK,1720147799
110,east london,-33.0153,27.9116,13.83,44,80,2.62,ZA,1720147801
111,callao,-12.0667,-77.15,18.01,82,100,3.6,PE,1720147802
112,coruripe,-10.1256,-36.1756,23.17,82,7,2.48,BR,1720147803
113,iskateley,67.6803,53.1512,10.99,69,2,5.07,RU,1720147804
114,lionel town,17.8101,-77.2406,29.94,87,100,2.69,JM,1720147805
115,petropavlovsk-kamchatsky,53.0452,158.6483,20.33,49,75,3.0,RU,1720147807
116,bata,1.8639,9.7658,24.28,89,100,4.1,GQ,1720147808
